,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
594,Maromandia,15430,Valid,L6,6000.0,Fell,2002-01-01T00:00:00.000,-14.2,48.1,"[48.1, -14.2]",Madagascar,Madagascar
601,Mayo Belwa,15451,Valid,Aubrite,4850.0,Fell,1974-01-01T00:00:00.000,8.96667,12.08333,"[12.08333, 8.96667]",Nigeria,Nigeria
602,Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,Fell,1885-01-01T00:00:00.000,24.68333,-101.68333,"[-101.68333, 24.68333]",Mexico,Mexico
603,Maziba,15454,Valid,L6,4975.0,Fell,1942-01-01T00:00:00.000,-1.21667,30.0,"[30, -1.2166700000000001]",Uganda,Uganda
610,Mern,15489,Valid,L6,4000.0,Fell,1878-01-01T00:00:00.000,55.05,12.06667,"[12.06667, 55.05]",Denmark,Denmark
611,Meru,15491,Valid,LL6,6000.0,Fell,1945-01-01T00:00:00.000,0.0,37.66667,"[37.66667, 0]",Kenya,Kenya
613,Messina,15495,Valid,L5,2405.0,Fell,1955-01-01T00:00:00.000,38.18333,15.56667,"[15.56667, 38.18333]",Italy,Italy
620,Mifflin,52090,Valid,L5,3584.0,Fell,2010-01-01T00:00:00.000,42.9075,-90.36556,"[-90.36556, 42.9075]",United States,United States
621,Mighei,16634,Valid,CM2,8000.0,Fell,1889-01-01T00:00:00.000,48.06667,30.96667,"[30.96667, 48.06667]",Ukraine,Ukraine
622,Mihonoseki,16635,Valid,L6,6380.0,Fell,1992-01-01T00:00:00.000,35.56833,133.22,"[133.22, 35.56833]",Japan,Japan
629,Min-Fan-Zhun,16697,Valid,LL6,5500.0,Fell,1952-01-01T00:00:00.000,32.33333,120.66667,"[120.66667, 32.33333]",China,China
631,Mirzapur,16701,Valid,L5,8510.0,Fell,1910-01-01T00:00:00.000,25.68333,83.25,"[83.25, 25.68333]",India,India
632,Misshof,16703,Valid,H5,5800.0,Fell,1890-01-01T00:00:00.000,56.66667,23.0,"[23, 56.66667]",Latvia,Latvia
636,Mokoia,16713,Valid,CV3,4500.0,Fell,1908-01-01T00:00:00.000,-39.63333,174.4,"[174.4, -39.63333]",New Zealand,New Zealand
639,Monahans (1998),16719,Valid,H5,2587.0,Fell,1998-01-01T00:00:00.000,31.60833,-102.85833,"[-102.85833, 31.60833]",United States,United States
640,Monroe,16720,Valid,H4,8600.0,Fell,1849-01-01T00:00:00.000,35.25,-80.5,"[-80.5, 35.25]",United States,United States
641,Monte das Fortes,16725,Valid,L5,4885.0,Fell,1950-01-01T00:00:00.000,38.01667,-8.25,"[-8.25, 38.01667]",Portugal,Portugal
642,Monte Milone,16726,Valid,L5,3130.0,Fell,1846-01-01T00:00:00.000,43.26667,13.35,"[13.35, 43.26667]",Italy,Italy
647,Mooresfort,16737,Valid,H5,3520.0,Fell,1810-01-01T00:00:00.000,52.45,-8.33333,"[-8.33333, 52.45]",Ireland,Ireland
652,Moss,36592,Valid,CO3.6,3763.0,Fell,2006-01-01T00:00:00.000,59.43333,10.7,"[10.7, 59.43333]",Norway,Norway
654,Motta di Conti,16762,Valid,H4,9150.0,Fell,1868-01-01T00:00:00.000,45.2,8.5,"[8.5, 45.2]",Italy,Italy
659,Muddoor,16841,Valid,L5,4400.0,Fell,1865-01-01T00:00:00.000,12.63333,77.01667,"[77.01667, 12.63333]",India,India
661,Muraid,16874,Valid,L6,4703.0,Fell,1924-01-01T00:00:00.000,24.5,90.21667,"[90.21667, 24.5]",Bangladesh,Bangladesh
666,Nadiabondi,16889,Valid,H5,8165.0,Fell,1956-01-01T00:00:00.000,12.0,1.0,"[1, 12]",Burkina Faso,Burkina Faso
669,Nagy-Borové,16893,Valid,L5,6100.0,Fell,1895-01-01T00:00:00.000,49.16667,19.5,"[19.5, 49.16667]",Slovakia,Slovakia
672,Nammianthal,16902,Valid,H5,4500.0,Fell,1886-01-01T00:00:00.000,12.28333,79.2,"[79.2, 12.28333]",India,India
674,Nanjemoy,16904,Valid,H6,7500.0,Fell,1825-01-01T00:00:00.000,38.41667,-77.16667,"[-77.16667, 38.41667]",United States,United States
677,Naragh,16909,Valid,H6,2700.0,Fell,1974-01-01T00:00:00.000,33.75,51.5,"[51.5, 33.75]",Iran,Iran
