,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
612,Merua,15492,Valid,H5,71400.0,Fell,1920-01-01T00:00:00.000,25.48333,81.98333,"[81.98333, 25.48333]",India,India
616,Mezö-Madaras,16628,Valid,L3.7,22700.0,Fell,1852-01-01T00:00:00.000,46.5,25.73333,"[25.73333, 46.5]",România,România
625,Millbillillie,16643,Valid,Eucrite-mmict,330000.0,Fell,1960-01-01T00:00:00.000,-26.45,120.36667,"[120.36667, -26.45]",Australia,Australia
626,Miller (Arkansas),16645,Valid,H5,16700.0,Fell,1930-01-01T00:00:00.000,35.4,-92.05,"[-92.05, 35.4]",United States,United States
634,Mocs,16709,Valid,L5-6,300000.0,Fell,1882-01-01T00:00:00.000,46.8,24.03333,"[24.03333, 46.8]",România,România
635,Modoc (1905),16711,Valid,L6,35000.0,Fell,1905-01-01T00:00:00.000,38.5,-101.1,"[-101.1, 38.5]",United States,United States
637,Molina,16715,Valid,H5,144000.0,Fell,1858-01-01T00:00:00.000,38.11667,-1.16667,"[-1.16667, 38.11667]",España,España
643,Montferré,16727,Valid,H5,149000.0,Fell,1923-01-01T00:00:00.000,43.39056,1.9625,"[1.9625, 43.39056]",France,France
655,Mount Browne,16766,Valid,H6,11300.0,Fell,1902-01-01T00:00:00.000,-29.8,141.7,"[141.7, -29.8]",Australia,Australia
656,Mount Tazerzait,16804,Valid,L5,110000.0,Fell,1991-01-01T00:00:00.000,18.7,4.8,"[4.8, 18.7]",Niger,Niger
657,Mount Vaisi,16805,Valid,Stone-uncl,17000.0,Fell,1637-01-01T00:00:00.000,44.08333,6.86667,"[6.86667, 44.08333]",France,France
662,Murchison,16875,Valid,CM2,100000.0,Fell,1969-01-01T00:00:00.000,-36.61667,145.2,"[145.2, -36.61667]",Australia,Australia
663,Murray,16882,Valid,CM2,12600.0,Fell,1950-01-01T00:00:00.000,36.6,-88.1,"[-88.1, 36.6]",United States,United States
671,Nakhon Pathom,16899,Valid,L6,23200.0,Fell,1923-01-01T00:00:00.000,13.73333,100.08333,"[100.08333, 13.73333]",ประเทศไทย,ประเทศไทย
673,Nan Yang Pao,16903,Valid,L6,52900.0,Fell,1917-01-01T00:00:00.000,35.66667,103.5,"[103.5, 35.66667]",中国,中国
676,Naoki,16908,Valid,H6,17000.0,Fell,1928-01-01T00:00:00.000,19.25,77.0,"[77, 19.25]",India,India
686,Nerft,16945,Valid,L6,10250.0,Fell,1864-01-01T00:00:00.000,56.5,21.5,"[21.5, 56.5]",Latvija,Latvija
688,New Concord,16953,Valid,L6,230000.0,Fell,1860-01-01T00:00:00.000,40.0,-81.76667,"[-81.76667, 40]",United States,United States
689,New Halfa,16954,Valid,L4,12000.0,Fell,1994-01-01T00:00:00.000,15.36667,35.68333,"[35.68333, 15.36667]",السودان,السودان
690,New Orleans,16960,Valid,H5,19256.0,Fell,2003-01-01T00:00:00.000,29.94718,-90.10976,"[-90.10976, 29.94718]",United States,United States
692,N'Goureyma,16968,Valid,"Iron, ungrouped",37500.0,Fell,1900-01-01T00:00:00.000,13.85,-4.38333,"[-4.38333, 13.85]",Mali,Mali
698,Ningbo,16980,Valid,"Iron, IVA",14250.0,Fell,1975-01-01T00:00:00.000,29.86667,121.48333,"[121.48333, 29.86667]",中国,中国
701,N'Kandhla,16983,Valid,"Iron, IID",17200.0,Fell,1912-01-01T00:00:00.000,-28.56667,30.7,"[30.7, -28.56667]",South Africa,South Africa
707,Norton County,17922,Valid,Aubrite,1100000.0,Fell,1948-01-01T00:00:00.000,39.68333,-99.86667,"[-99.86667, 39.68333]",United States,United States
713,Nuevo Mercurio,17938,Valid,H5,50000.0,Fell,1978-01-01T00:00:00.000,24.3,-102.13333,"[-102.13333, 24.3]",México,México
718,Ochansk,17979,Valid,H4,500000.0,Fell,1887-01-01T00:00:00.000,57.78333,55.26667,"[55.26667, 57.78333]",Россия,Россия
722,Ogi,17994,Valid,H6,14360.0,Fell,1741-01-01T00:00:00.000,33.28333,130.2,"[130.2, 33.28333]",日本,日本
723,Ohaba,17995,Valid,H5,16250.0,Fell,1857-01-01T00:00:00.000,46.06667,23.58333,"[23.58333, 46.06667]",România,România
728,Okniny,18002,Valid,LL6,12000.0,Fell,1834-01-01T00:00:00.000,50.83333,25.5,"[25.5, 50.83333]",Україна,Україна
729,Oldenburg (1930),18009,Valid,L6,16570.0,Fell,1930-01-01T00:00:00.000,52.95,8.16667,"[8.16667, 52.95]",Deutschland,Deutschland
731,Olivenza,18013,Valid,LL5,150000.0,Fell,1924-01-01T00:00:00.000,38.71667,-7.06667,"[-7.06667, 38.71667]",España,España
732,Olmedilla de Alarcón,18015,Valid,H5,40000.0,Fell,1929-01-01T00:00:00.000,39.56667,-2.1,"[-2.1, 39.56667]",España,España
733,Omolon,18019,Valid,"Pallasite, PMG",250000.0,Fell,1981-01-01T00:00:00.000,64.02,161.80833,"[161.80833, 64.02]",Россия,Россия
734,Orgueil,18026,Valid,CI1,14000.0,Fell,1864-01-01T00:00:00.000,43.88333,1.38333,"[1.38333, 43.88333]",France,France
744,Oum Dreyga,31282,Valid,H3-5,17000.0,Fell,2003-01-01T00:00:00.000,24.3,-13.1,"[-13.1, 24.3]",Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
745,Ourique,18052,Valid,H4,20000.0,Fell,1998-01-01T00:00:00.000,37.60833,-8.28,"[-8.28, 37.60833]",Portugal,Portugal
754,Palinshih,18077,Valid,Iron,18000.0,Fell,1914-01-01T00:00:00.000,43.48333,118.61667,"[118.61667, 43.48333]",中国,中国
758,Pampanga,18093,Valid,L5,10500.0,Fell,1859-01-01T00:00:00.000,15.08333,120.7,"[120.7, 15.08333]",Luzon,Luzon
760,Paragould,18101,Valid,LL5,408000.0,Fell,1930-01-01T00:00:00.000,36.06667,-90.5,"[-90.5, 36.06667]",United States,United States
762,Paranaiba,18103,Valid,L6,100000.0,Fell,1956-01-01T00:00:00.000,-19.13333,-51.66667,"[-51.66667, -19.13333]",Brasil,Brasil
763,Park Forest,18106,Valid,L5,18000.0,Fell,2003-01-01T00:00:00.000,41.48472,-87.67917,"[-87.67917, 41.48472]",United States,United States
764,Parnallee,18108,Valid,LL3.6,77600.0,Fell,1857-01-01T00:00:00.000,9.23333,78.35,"[78.35, 9.23333]",India,India
770,Patwar,18171,Valid,Mesosiderite-A1,37350.0,Fell,1935-01-01T00:00:00.000,23.15,91.18333,"[91.18333, 23.15]",বাংলাদেশ,বাংলাদেশ
773,Pavlograd,18176,Valid,L6,40000.0,Fell,1826-01-01T00:00:00.000,48.53333,35.98333,"[35.98333, 48.53333]",Україна,Україна
776,Peace River,18180,Valid,L6,45760.0,Fell,1963-01-01T00:00:00.000,56.13333,-117.93333,"[-117.93333, 56.13333]",Canada,Canada
778,Peekskill,18782,Valid,H6,12570.0,Fell,1992-01-01T00:00:00.000,41.28333,-73.91667,"[-73.91667, 41.28333]",United States,United States
